Customer_ID,Future_Purchase,Age_Group,Annual_Income_Group,Total_Purchases_Group,Average_Purchase_Value_Group,Website_Visits_Last_Month_Group,Marketing_Emails_Opened_Group,Hours_Spent_on_Support_Calls_Group
399,1,4,3,2,2,2,4,1
400,0,5,4,2,3,5,3,1
401,0,2,3,2,3,4,3,1
402,0,3,2,2,2,3,3,1
403,1,4,3,2,2,2,4,1
404,1,4,2,3,2,1,3,1
405,1,4,4,3,3,2,4,1
406,0,5,3,2,3,3,3,1
407,0,3,4,3,3,4,3,1
408,1,4,3,3,2,2,2,1
409,1,4,2,3,3,3,2,1
410,1,5,2,2,2,2,3,2
411,0,5,2,2,3,3,2,2
412,0,3,2,3,3,3,3,1
413,0,2,3,3,2,2,2,1
414,0,5,3,2,1,1,3,1
415,0,4,2,2,3,2,2,1
416,0,3,4,2,3,3,4,1
417,1,6,3,3,2,2,3,1
418,1,4,3,1,3,4,2,2
419,0,5,4,2,3,2,3,1
420,1,4,4,3,2,4,2,1
421,1,6,3,2,3,3,2,1
422,1,6,2,4,1,3,2,1
423,1,4,1,2,2,1,2,2
424,1,5,2,2,2,4,4,1
425,1,5,3,2,3,2,1,1
426,1,5,2,3,2,3,3,1
427,1,3,3,2,2,3,2,1
428,1,5,3,3,1,2,3,1
429,0,5,3,3,3,3,2,1
430,1,2,3,2,2,2,3,1
431,1,3,3,2,3,2,3,1
432,1,2,3,2,2,3,3,1
433,1,4,2,2,3,4,2,1
434,1,5,4,2,3,4,3,1
435,0,6,3,1,2,3,2,1
436,0,4,3,3,3,2,1,1
437,1,6,4,3,2,2,3,3
438,1,3,3,3,2,3,3,2
439,1,2,4,2,2,2,3,1
440,0,4,3,2,3,1,3,1
441,0,4,3,2,3,3,2,1
442,1,4,3,2,2,3,2,1
443,1,2,2,3,2,1,2,1
444,0,4,3,2,3,2,3,1
445,0,3,3,3,3,,3,1
446,1,5,3,2,3,2,2,1
447,0,4,3,1,2,4,3,2
448,1,3,2,2,2,4,3,1
449,1,3,3,2,3,1,3,1
450,0,3,3,3,4,1,3,1
451,1,4,3,4,2,3,3,4
452,0,5,2,3,2,3,3,1
453,1,3,4,3,3,3,2,1
454,1,5,2,2,3,2,2,2
455,1,3,4,2,2,2,2,1
456,1,3,3,2,3,2,3,1
457,1,4,3,1,3,3,4,1
458,0,3,4,3,2,2,3,2
459,1,3,2,3,2,3,2,1
460,0,3,4,2,3,2,3,1
461,1,6,4,3,2,2,4,1
462,0,4,2,1,3,2,4,1
463,1,3,4,3,4,3,3,1
464,1,4,3,2,2,4,4,1
465,1,4,3,4,2,3,1,1
466,1,4,3,2,3,2,2,1
467,1,5,3,1,2,3,2,1
468,1,5,4,2,2,2,3,1
469,0,3,4,3,1,5,2,1
470,0,3,2,1,2,3,3,1
471,0,4,4,1,2,3,3,1
472,1,2,2,3,2,2,2,1
473,0,2,4,3,3,2,4,1
474,0,5,4,3,3,2,2,1
475,1,6,2,3,4,5,2,1
476,1,4,3,3,3,5,3,1
477,1,5,2,2,3,3,1,1
478,1,4,3,3,3,2,3,1
479,1,7,3,3,3,5,3,1
480,1,5,4,3,2,1,4,2
481,0,4,4,3,1,3,4,1
482,1,3,4,2,3,2,2,1
483,1,2,3,2,3,2,3,1
484,0,4,3,1,2,3,2,1
485,0,3,2,2,2,4,2,1
486,0,3,2,2,3,4,2,1
487,1,3,4,4,2,2,2,1
488,1,3,4,3,3,4,4,1
489,1,6,2,2,2,2,2,1
490,1,5,3,1,2,2,3,1
491,1,4,3,2,3,4,3,1
492,1,5,3,1,2,3,3,1
493,0,4,2,2,2,2,4,1
494,1,3,3,2,2,2,2,1
495,1,6,3,2,2,4,3,1
496,1,5,3,3,3,2,3,2
497,0,3,3,3,2,2,2,1
498,1,4,3,2,3,3,3,1
499,1,3,3,2,2,3,3,1
500,1,3,3,3,2,4,2,1
501,1,5,3,2,3,3,2,1
502,1,6,3,3,3,3,2,1
503,1,3,3,3,3,2,3,2
504,1,5,4,2,2,2,3,1
505,0,3,3,2,2,4,3,1
506,1,4,3,1,2,2,3,1
507,0,3,4,3,2,2,4,1
508,1,3,3,2,1,2,3,1
509,1,4,4,3,2,3,3,1
510,1,3,3,3,2,1,3,1
511,1,4,3,2,2,4,3,1
512,1,4,3,4,2,5,3,1
513,1,4,2,1,2,1,4,1
514,0,3,2,1,3,3,4,1
515,0,3,2,3,3,2,1,1
516,0,5,3,2,2,3,1,2
517,1,5,4,3,3,4,4,1
518,1,3,5,2,3,3,2,1
519,1,4,3,2,2,3,4,1
520,1,5,3,1,2,5,3,1
521,1,2,2,2,3,2,2,1
522,1,5,3,2,3,2,2,1
523,0,3,2,2,3,2,2,1
524,1,5,3,2,2,4,2,1
525,1,3,3,2,3,4,3,1
526,1,2,3,2,3,2,3,2
527,1,2,2,2,3,3,4,2
528,0,4,4,3,3,2,3,3
529,1,4,2,2,2,4,3,2
530,0,3,3,2,2,2,3,1
531,1,5,5,2,2,2,3,1
532,1,2,2,2,2,3,3,1
533,0,4,1,2,2,3,1,1
534,1,3,3,3,3,2,1,1
535,1,3,4,3,3,2,2,2
536,1,4,4,3,2,2,2,1
537,1,3,2,2,2,1,3,1
538,0,4,3,3,2,4,2,2
539,0,5,3,3,2,2,4,1
540,0,3,3,2,3,1,4,1
541,1,5,5,3,2,2,4,1
542,1,3,2,4,3,2,4,1
543,1,5,3,3,2,3,2,1
544,0,5,3,2,2,3,3,1
545,0,2,4,3,2,5,2,1
546,1,3,3,3,2,4,3,3
547,1,5,3,2,1,3,4,1
548,1,4,3,2,3,2,4,1
549,1,4,3,2,2,3,3,2
550,1,3,3,2,2,2,3,1
551,1,4,3,2,3,3,2,1
552,1,4,3,2,3,2,1,1
553,0,5,3,2,4,3,3,1
554,0,4,3,2,3,2,3,1
555,0,4,4,2,2,3,,1
556,1,4,3,2,2,3,2,1
557,1,4,2,3,2,1,4,1
558,1,4,4,3,2,2,3,1
559,1,4,2,3,3,1,3,1
560,1,4,3,2,2,3,3,1
561,0,4,3,3,3,4,4,2
562,1,6,4,2,3,2,2,1
563,0,5,1,2,3,3,4,1
564,0,4,5,3,2,3,2,1
565,0,5,4,1,3,3,2,1
566,0,4,3,3,3,2,3,1
567,1,2,3,2,2,4,4,1
568,0,3,3,1,2,1,3,1
569,1,2,3,2,3,4,4,1
570,0,4,3,2,2,2,3,1
571,1,4,3,2,2,2,2,1
572,1,6,3,3,3,3,4,1
573,1,4,3,3,2,4,2,1
574,1,4,3,2,3,4,4,1
575,1,5,3,2,2,2,2,1
576,1,2,4,3,2,3,3,1
577,0,4,3,2,3,2,3,1
578,1,5,1,1,3,2,2,1
579,1,3,3,2,3,3,2,1
580,1,5,3,1,2,3,2,1
581,1,4,3,4,3,2,2,1
582,1,4,3,2,1,2,2,1
583,0,5,4,2,3,4,3,1
584,1,6,4,2,3,2,3,1
585,1,4,2,2,1,3,3,2
586,1,4,3,2,2,2,4,2
587,1,4,2,3,2,3,3,1
588,1,3,2,2,2,2,3,2
589,0,5,3,1,1,2,3,1
590,1,3,4,3,2,4,3,1
591,1,4,4,2,2,3,3,1
592,1,4,3,3,3,3,2,1
593,1,4,4,1,2,2,4,2
594,0,4,3,3,3,4,3,1
595,1,5,3,2,3,3,2,4
596,1,3,3,3,3,2,3,1
597,0,4,4,2,3,2,1,1
598,1,3,4,2,3,4,2,1
599,0,4,4,3,3,2,2,1
600,1,4,4,1,2,2,3,1
601,1,5,3,2,2,2,3,1
602,0,3,4,3,3,4,3,2
603,0,5,3,3,1,3,1,1
604,1,5,2,3,2,3,3,1
605,0,4,3,3,2,2,3,1
606,1,6,2,2,3,4,2,3
607,1,3,2,2,2,1,3,1
608,1,3,3,3,3,1,2,1
609,1,2,2,2,2,1,2,1
610,0,5,3,2,2,4,3,1
611,1,5,2,2,2,2,3,1
612,1,4,3,2,2,3,2,1
613,0,4,3,4,2,2,2,2
614,1,3,2,3,2,4,2,1
615,1,6,3,3,3,2,2,1
616,1,4,4,2,3,3,2,3
617,1,4,2,2,4,4,3,1
618,0,5,2,2,2,3,3,1
619,1,4,2,2,2,2,3,1
620,1,4,2,2,3,2,3,1
621,0,3,4,3,2,3,3,1
622,1,4,3,2,2,4,2,1
623,1,6,3,1,2,4,1,1
624,0,5,1,3,3,2,4,1
625,1,6,3,3,3,2,2,1
626,1,3,2,2,3,3,2,1
627,1,3,3,2,3,1,1,1
628,1,4,3,4,3,3,3,1
629,1,4,4,2,2,1,3,2
630,1,5,2,2,3,4,4,1
631,0,2,1,2,3,4,4,1
632,1,6,3,3,3,2,3,1
633,1,4,4,1,2,2,2,1
634,0,4,4,3,3,2,2,2
635,1,3,3,3,2,3,2,1
636,0,2,3,3,2,3,2,1
637,1,5,4,2,2,3,2,2
638,1,4,2,2,3,2,2,1
639,0,3,3,2,2,2,2,1
640,1,3,3,2,2,3,2,1
641,0,4,4,2,3,2,4,1
642,1,6,5,2,3,2,3,1
643,1,4,3,2,3,4,4,1
644,1,2,3,2,2,4,2,1
645,1,4,3,2,3,2,3,1
646,0,4,2,2,2,3,2,1
647,1,1,2,3,2,3,2,1
648,0,4,3,2,2,3,2,1
649,1,4,3,1,3,4,4,1
650,1,5,3,2,2,2,4,1
651,1,6,2,2,4,3,1,1
652,1,5,4,3,1,2,2,1
653,1,4,3,2,2,2,3,1
654,1,3,3,2,3,3,2,1
655,1,7,3,2,3,4,2,1
656,0,4,3,2,2,2,2,1
657,0,4,4,2,3,4,3,1
658,1,4,2,2,3,2,2,1
659,1,4,3,4,2,5,2,2
660,1,4,3,2,3,3,2,1
661,1,3,2,2,3,2,3,1
662,1,3,2,2,2,1,4,1
663,1,4,3,3,2,4,2,2
664,0,3,4,2,3,2,4,1
665,1,3,3,3,3,3,4,1
666,1,4,3,1,2,3,4,2
667,1,4,4,2,3,1,3,1
668,0,6,3,2,3,5,3,1
669,1,1,3,2,2,3,4,1
670,0,5,3,3,4,3,2,1
671,0,5,3,2,2,2,3,1
672,0,2,3,3,2,1,4,1
673,0,4,1,2,3,2,3,1
674,1,4,3,3,4,2,4,1
675,1,3,4,3,3,2,3,1
676,1,3,4,2,3,2,4,1
677,1,3,4,2,2,3,3,1
678,1,6,4,3,3,2,3,1
679,1,5,3,2,2,4,3,1
680,1,5,3,2,3,3,4,1
681,0,5,3,3,3,2,3,1
682,1,3,3,1,3,3,4,1
683,1,3,3,2,1,2,3,1
684,0,4,4,1,2,3,2,1
685,1,3,3,3,3,2,1,1
686,0,5,3,3,2,5,4,2
687,0,4,3,1,3,2,3,1
688,1,4,3,2,3,4,2,1
689,1,5,2,3,2,2,2,1
690,1,4,1,3,2,3,4,2
691,0,4,3,3,2,4,4,1
692,1,5,2,3,3,2,3,1
693,1,3,3,3,3,3,3,1
694,0,5,3,2,3,2,2,1
695,1,5,3,2,2,4,2,2
696,0,4,4,3,3,3,1,1
697,0,4,3,3,3,1,4,1
698,0,3,3,2,2,4,2,1
699,0,5,3,2,3,3,3,1
700,1,4,2,3,3,1,3,2
701,0,3,4,2,2,2,3,1
702,1,5,3,1,3,3,4,1
703,1,3,4,2,3,4,1,1
704,1,3,2,3,2,3,3,1
705,0,2,2,2,3,3,1,1
706,0,5,4,3,1,3,1,1
707,0,3,3,1,4,2,3,1
708,1,6,2,2,3,4,2,1
709,0,2,2,2,3,2,3,1
710,0,6,4,2,3,3,3,2
711,1,4,2,2,2,4,1,1
712,1,4,4,1,2,4,1,1
713,1,3,2,3,1,2,3,1
714,1,4,3,1,3,3,3,1
715,1,4,3,2,3,1,3,1
716,1,5,3,2,2,2,3,1
717,1,4,3,2,3,3,3,1
718,1,4,3,2,3,4,3,2
719,1,4,3,2,3,2,2,1
720,1,4,2,2,3,1,3,1
721,0,4,4,2,2,4,3,1
722,1,2,3,2,2,2,3,1
723,1,3,3,3,2,4,3,1
724,1,5,2,3,3,2,4,1
725,1,4,1,3,3,2,2,1
726,0,4,3,3,2,3,4,1
727,1,4,5,2,3,2,3,1
728,1,4,4,1,2,3,3,1
729,0,3,3,2,1,3,2,1
730,1,3,3,3,3,3,3,2
731,1,4,3,2,1,4,3,1
732,1,3,3,2,3,3,3,1
733,1,4,2,2,3,1,1,1
734,0,2,4,2,3,4,3,1
735,1,5,4,3,2,4,2,1
736,0,4,4,1,3,2,,1
737,0,4,3,3,3,5,4,2
738,1,5,3,2,2,2,1,1
739,1,6,4,2,3,3,4,1
740,1,5,3,2,3,3,4,1
741,1,2,3,1,3,3,2,1
742,1,3,3,3,2,3,3,1
743,1,3,3,3,3,2,3,1
744,1,4,4,2,3,2,3,1
745,0,5,2,3,2,2,2,1
746,1,3,2,2,2,1,2,1
747,1,4,3,2,3,3,3,1
748,0,3,3,3,3,2,2,1
749,1,3,3,2,3,4,4,1
750,1,3,3,2,2,4,2,1
751,1,3,3,2,2,3,3,1
752,1,3,4,2,4,3,4,1
753,1,3,2,2,2,3,3,1
754,1,5,2,2,2,2,3,1
755,1,3,3,3,3,2,4,1
756,0,7,2,2,3,3,4,1
757,1,4,3,2,3,3,2,1
758,1,4,4,2,4,4,3,3
759,1,3,3,4,2,3,4,1
760,1,5,3,3,2,3,2,1
761,1,3,2,3,2,5,2,1
762,0,4,3,2,2,2,2,2
763,1,7,3,3,2,3,2,1
764,1,4,3,3,2,2,3,1
765,1,5,4,3,3,2,3,1
766,1,3,3,1,3,1,4,1
