,Customer_ID,Gender,Product_Category_Most_Purchased,Churn,Future_Purchase,Age_Group,Annual_Income_Group,Total_Purchases_Group,Average_Purchase_Value_Group,Website_Visits_Last_Month_Group,Marketing_Emails_Opened_Group,Hours_Spent_on_Support_Calls_Group
64,65,Male,Books,No,Yes,41-50,60000-80000,3-5,65-100,10-13,5-6,0-2
65,66,Female,Clothing,No,Yes,41-50,60000-80000,6-8,65-100,6-9,1-2,0-2
66,67,Male,Clothing,No,No,31-40,40000-60000,9-11,65-100,10-13,5-6,2-4
67,68,Female,Electronics,No,Yes,41-50,20000-40000,9-11,65-100,6-9,3-4,0-2
68,69,Female,Clothing,No,Yes,31-40,40000-60000,3-5,100-135,6-9,7-9,0-2
69,70,Female,Books,No,No,21-30,20000-40000,6-8,100-135,14-17,5-6,2-4
70,71,Female,Electronics,No,Yes,31-40,40000-60000,6-8,100-135,6-9,5-6,0-2
71,72,Male,Health,No,Yes,51-60,40000-60000,3-5,100-135,14-17,3-4,0-2
72,73,Female,Electronics,No,Yes,31-40,60000-80000,6-8,65-100,6-9,5-6,2-4
73,74,Male,Electronics,No,No,51-60,40000-60000,3-5,100-135,10-13,5-6,0-2
74,75,Female,Health,No,Yes,2-10,20000-40000,0-2,100-135,10-13,3-4,0-2
75,76,Female,Books,No,No,41-50,40000-60000,9-11,30-65,10-13,5-6,0-2
76,77,Male,Home,No,No,31-40,60000-80000,6-8,65-100,14-17,5-6,2-4
77,78,Male,Home,No,Yes,31-40,40000-60000,3-5,65-100,6-9,5-6,0-2
78,79,Male,Health,Yes,No,31-40,40000-60000,6-8,100-135,14-17,5-6,0-2
79,80,Female,Books,Yes,Yes,11-20,40000-60000,3-5,100-135,6-9,7-9,0-2
80,81,Female,Clothing,No,Yes,31-40,20000-40000,0-2,100-135,14-17,7-9,0-2
81,82,Male,Health,Yes,Yes,31-40,40000-60000,6-8,30-65,6-9,5-6,0-2
82,83,Male,Home,No,No,41-50,40000-60000,3-5,65-100,14-17,5-6,0-2
83,84,Male,Books,No,Yes,21-30,40000-60000,3-5,65-100,14-17,5-6,0-2
84,85,Male,Electronics,Yes,Yes,21-30,20000-40000,3-5,65-100,18-21,5-6,0-2
85,86,Female,Books,No,Yes,21-30,40000-60000,3-5,100-135,6-9,,2-4
86,87,Male,Books,No,Yes,41-50,60000-80000,3-5,65-100,6-9,1-2,2-4
87,88,Male,Home,No,Yes,31-40,40000-60000,3-5,100-135,6-9,3-4,2-4
88,89,Male,Home,No,Yes,21-30,60000-80000,9-11,30-65,6-9,3-4,0-2
89,90,Male,Clothing,No,Yes,41-50,40000-60000,6-8,100-135,6-9,3-4,0-2
90,91,Female,Clothing,No,Yes,31-40,40000-60000,3-5,100-135,2-5,3-4,0-2
91,92,Male,Health,No,Yes,41-50,60000-80000,3-5,100-135,2-5,5-6,0-2
92,93,Female,Electronics,No,Yes,21-30,20000-40000,3-5,100-135,6-9,3-4,0-2
93,94,Male,Clothing,No,No,31-40,20000-40000,3-5,100-135,10-13,5-6,0-2
94,95,Male,Home,Yes,No,31-40,20000-40000,6-8,65-100,14-17,5-6,2-4
95,96,Female,Books,No,Yes,21-30,60000-80000,3-5,65-100,6-9,3-4,0-2
96,97,Male,Health,No,Yes,31-40,40000-60000,3-5,30-65,10-13,3-4,0-2
97,98,Female,Clothing,No,No,31-40,80000- 100000,3-5,65-100,6-9,5-6,0-2
98,99,Female,Books,No,No,31-40,40000-60000,6-8,65-100,10-13,5-6,0-2
99,100,Male,Books,No,Yes,31-40,40000-60000,3-5,100-135,6-9,7-9,0-2
100,101,Female,Clothing,No,Yes,21-30,60000-80000,6-8,65-100,6-9,7-9,0-2
101,102,Female,Electronics,No,Yes,31-40,80000- 100000,6-8,65-100,6-9,7-9,0-2
102,103,Female,Electronics,Yes,Yes,31-40,80000- 100000,0-2,65-100,2-5,5-6,0-2
103,104,Female,Health,No,Yes,21-30,60000-80000,6-8,135-170,6-9,7-9,0-2
104,105,Female,Electronics,No,No,31-40,60000-80000,3-5,65-100,2-5,5-6,0-2
105,106,Female,Health,No,Yes,31-40,40000-60000,0-2,65-100,10-13,7-9,2-4
106,107,Female,Home,No,Yes,51-60,60000-80000,0-2,100-135,14-17,1-2,0-2
107,108,Female,Clothing,No,No,31-40,40000-60000,3-5,135-170,6-9,7-9,2-4
108,109,Male,Books,No,No,31-40,20000-40000,3-5,65-100,18-21,5-6,0-2
109,110,Male,Health,No,No,31-40,40000-60000,3-5,100-135,10-13,5-6,0-2
110,111,Female,Electronics,No,No,11-20,40000-60000,3-5,100-135,6-9,3-4,0-2
111,112,Male,Health,No,Yes,31-40,40000-60000,9-11,30-65,10-13,5-6,0-2
112,113,Female,Health,No,No,31-40,60000-80000,0-2,65-100,10-13,3-4,0-2
113,114,Female,Electronics,Yes,No,51-60,60000-80000,6-8,100-135,6-9,3-4,0-2
114,115,Male,Electronics,No,Yes,31-40,40000-60000,3-5,65-100,6-9,3-4,2-4
115,116,Female,Clothing,No,Yes,31-40,60000-80000,3-5,100-135,14-17,5-6,0-2
116,117,Female,Books,No,Yes,31-40,20000-40000,3-5,65-100,6-9,1-2,0-2
117,118,Female,Clothing,No,No,21-30,40000-60000,9-11,65-100,14-17,3-4,0-2
118,119,Female,Clothing,No,Yes,41-50,20000-40000,0-2,65-100,10-13,3-4,0-2
119,120,Male,Electronics,No,Yes,41-50,20000-40000,6-8,100-135,6-9,5-6,0-2
120,121,Female,Electronics,No,Yes,41-50,40000-60000,3-5,100-135,14-17,3-4,0-2
121,122,Female,Books,No,Yes,21-30,40000-60000,3-5,100-135,10-13,3-4,0-2
122,123,Female,Health,Yes,Yes,41-50,60000-80000,3-5,135-170,6-9,5-6,0-2
123,124,Male,Clothing,No,Yes,21-30,40000-60000,9-11,100-135,6-9,5-6,0-2
124,125,Female,Books,No,No,41-50,20000-40000,3-5,30-65,10-13,3-4,0-2
125,126,Male,Clothing,No,Yes,51-60,60000-80000,3-5,65-100,6-9,3-4,0-2
126,127,Male,Health,Yes,Yes,21-30,60000-80000,3-5,135-170,6-9,3-4,0-2
127,128,Female,Clothing,No,Yes,21-30,40000-60000,3-5,65-100,10-13,7-9,0-2
128,129,Female,Home,No,Yes,31-40,40000-60000,6-8,135-170,6-9,5-6,0-2
129,130,Male,Books,No,Yes,21-30,20000-40000,0-2,65-100,14-17,5-6,0-2
130,131,Female,Electronics,No,Yes,11-20,40000-60000,3-5,65-100,10-13,3-4,0-2
131,132,Male,Clothing,No,Yes,31-40,60000-80000,6-8,100-135,10-13,5-6,0-2
132,133,Male,Books,No,Yes,21-30,60000-80000,3-5,65-100,6-9,3-4,0-2
133,134,Female,Books,No,Yes,31-40,60000-80000,6-8,100-135,6-9,1-2,0-2
134,135,Female,Clothing,No,Yes,21-30,40000-60000,3-5,100-135,10-13,5-6,0-2
135,136,Male,Electronics,No,Yes,51-60,20000-40000,6-8,100-135,6-9,5-6,0-2
136,137,Male,Electronics,No,Yes,21-30,40000-60000,3-5,100-135,10-13,3-4,0-2
137,138,Male,Clothing,No,Yes,31-40,20000-40000,6-8,100-135,10-13,5-6,0-2
138,139,Male,Books,No,No,41-50,40000-60000,3-5,100-135,6-9,,0-2
139,140,Female,Electronics,No,No,21-30,40000-60000,3-5,65-100,6-9,5-6,0-2
140,141,Female,Clothing,No,Yes,31-40,40000-60000,3-5,135-170,10-13,5-6,0-2
141,142,Female,Clothing,Yes,Yes,41-50,20000-40000,9-11,100-135,10-13,7-9,0-2
142,143,Female,Clothing,No,Yes,11-20,40000-60000,6-8,65-100,6-9,7-9,0-2
143,144,Female,Books,Yes,Yes,31-40,40000-60000,6-8,30-65,6-9,5-6,0-2
144,145,Male,Electronics,Yes,No,31-40,20000-40000,3-5,65-100,2-5,5-6,0-2
145,146,Female,Books,No,No,41-50,4500-20000,0-2,100-135,6-9,3-4,0-2
146,147,Female,Home,Yes,No,21-30,40000-60000,9-11,100-135,10-13,5-6,0-2
147,148,Female,Electronics,No,No,21-30,60000-80000,3-5,100-135,10-13,3-4,0-2
148,149,Female,Books,No,No,41-50,60000-80000,3-5,30-65,6-9,3-4,0-2
149,150,Female,Electronics,No,Yes,31-40,40000-60000,3-5,65-100,10-13,5-6,0-2
150,151,Male,Home,No,Yes,31-40,40000-60000,3-5,65-100,10-13,3-4,0-2
151,152,Male,Health,No,No,31-40,40000-60000,0-2,65-100,10-13,5-6,0-2
152,153,Male,Clothing,No,Yes,21-30,20000-40000,0-2,135-170,10-13,5-6,4-6
153,154,Female,Books,No,Yes,31-40,40000-60000,6-8,135-170,14-17,5-6,0-2
154,155,Male,Home,No,Yes,31-40,60000-80000,3-5,65-100,10-13,3-4,0-2
155,156,Male,Home,No,No,21-30,60000-80000,0-2,65-100,6-9,3-4,0-2
156,157,Female,Electronics,No,Yes,51-60,40000-60000,3-5,65-100,6-9,5-6,0-2
157,158,Female,Electronics,No,Yes,31-40,40000-60000,6-8,65-100,14-17,7-9,0-2
158,159,Female,Clothing,Yes,No,21-30,20000-40000,3-5,100-135,10-13,3-4,0-2
159,160,Male,Electronics,No,No,41-50,20000-40000,3-5,100-135,2-5,3-4,0-2
160,161,Male,Books,No,No,21-30,40000-60000,3-5,100-135,14-17,7-9,0-2
161,162,Female,Books,Yes,Yes,41-50,40000-60000,3-5,65-100,2-5,3-4,0-2
162,163,Female,Books,No,Yes,41-50,60000-80000,3-5,100-135,6-9,7-9,0-2
163,164,Male,Health,No,No,21-30,20000-40000,3-5,100-135,10-13,5-6,0-2
164,165,Male,Books,No,Yes,41-50,60000-80000,3-5,100-135,14-17,5-6,0-2
165,166,Female,Electronics,No,Yes,31-40,40000-60000,6-8,65-100,6-9,3-4,0-2
166,167,Female,Electronics,Yes,Yes,41-50,40000-60000,6-8,100-135,6-9,3-4,0-2
167,168,Male,Books,No,Yes,51-60,20000-40000,3-5,100-135,10-13,3-4,0-2
168,169,Female,Home,No,Yes,31-40,4500-20000,9-11,65-100,14-17,7-9,0-2
169,170,Male,Home,No,Yes,21-30,60000-80000,6-8,65-100,6-9,5-6,0-2
170,171,Male,Home,No,Yes,21-30,60000-80000,3-5,65-100,10-13,5-6,0-2
171,172,Male,Clothing,No,No,21-30,40000-60000,3-5,65-100,6-9,5-6,0-2
172,173,Male,Health,Yes,Yes,31-40,40000-60000,3-5,65-100,6-9,3-4,0-2
173,174,Female,Books,Yes,Yes,31-40,40000-60000,9-11,65-100,6-9,5-6,0-2
174,175,Female,Clothing,No,Yes,31-40,20000-40000,6-8,65-100,14-17,5-6,0-2
175,176,Male,Home,No,Yes,41-50,40000-60000,0-2,65-100,10-13,5-6,0-2
176,177,Male,Books,No,No,31-40,60000-80000,3-5,100-135,6-9,3-4,0-2
177,178,Male,Clothing,No,Yes,41-50,20000-40000,3-5,100-135,14-17,5-6,0-2
178,179,Male,Electronics,No,No,31-40,40000-60000,0-2,65-100,6-9,7-9,0-2
179,180,Male,Home,No,Yes,61-73,20000-40000,3-5,65-100,6-9,5-6,0-2
180,181,Female,Clothing,Yes,Yes,41-50,40000-60000,6-8,65-100,6-9,3-4,0-2
181,182,Female,Electronics,No,Yes,21-30,40000-60000,3-5,65-100,6-9,5-6,0-2
182,183,Female,Home,No,Yes,21-30,20000-40000,9-11,100-135,10-13,3-4,2-4
183,184,Female,Health,No,Yes,31-40,60000-80000,3-5,100-135,6-9,5-6,0-2
184,185,Male,Home,No,Yes,31-40,20000-40000,3-5,100-135,2-5,7-9,0-2
185,186,Male,Health,No,Yes,41-50,20000-40000,3-5,100-135,14-17,5-6,0-2
186,187,Male,Health,No,No,31-40,40000-60000,3-5,100-135,14-17,5-6,0-2
187,188,Male,Health,No,No,31-40,60000-80000,3-5,100-135,2-5,5-6,0-2
188,189,Male,Books,No,Yes,21-30,20000-40000,6-8,100-135,6-9,3-4,0-2
189,190,Female,Books,No,Yes,11-20,40000-60000,3-5,65-100,10-13,3-4,0-2
190,191,Male,Health,No,Yes,31-40,40000-60000,0-2,100-135,6-9,7-9,2-4
191,192,Female,Electronics,No,No,41-50,60000-80000,9-11,100-135,10-13,5-6,0-2
192,193,Female,Health,No,Yes,31-40,40000-60000,3-5,100-135,6-9,1-2,0-2
193,194,Female,Clothing,No,Yes,21-30,40000-60000,9-11,100-135,18-21,3-4,2-4
194,195,Female,Health,Yes,Yes,31-40,20000-40000,3-5,135-170,18-21,5-6,2-4
195,196,Male,Books,No,Yes,31-40,40000-60000,3-5,65-100,10-13,5-6,0-2
196,197,Female,Books,No,Yes,21-30,20000-40000,0-2,100-135,14-17,7-9,0-2
197,198,Female,Clothing,Yes,Yes,31-40,4500-20000,3-5,65-100,14-17,3-4,0-2
198,199,Female,Clothing,No,No,31-40,40000-60000,6-8,100-135,6-9,7-9,0-2
199,200,Male,Home,No,No,21-30,60000-80000,6-8,65-100,6-9,5-6,0-2
200,201,Male,Electronics,No,Yes,31-40,4500-20000,0-2,100-135,10-13,5-6,0-2
201,202,Male,Electronics,No,Yes,41-50,20000-40000,3-5,100-135,14-17,5-6,0-2
202,203,Female,Electronics,Yes,Yes,41-50,40000-60000,3-5,100-135,6-9,3-4,0-2
203,204,Female,Books,No,No,41-50,80000- 100000,3-5,100-135,6-9,7-9,0-2
204,205,Male,Electronics,No,No,21-30,40000-60000,6-8,65-100,6-9,3-4,0-2
205,206,Female,Home,No,Yes,21-30,20000-40000,3-5,65-100,14-17,3-4,0-2
206,207,Male,Home,No,Yes,41-50,40000-60000,6-8,100-135,14-17,5-6,0-2
207,208,Male,Electronics,No,Yes,41-50,60000-80000,3-5,30-65,10-13,5-6,0-2
208,209,Female,Clothing,No,Yes,41-50,40000-60000,3-5,100-135,10-13,7-9,0-2
209,210,Female,Home,No,Yes,,20000-40000,6-8,135-170,10-13,5-6,0-2
210,211,Female,Clothing,No,No,41-50,40000-60000,3-5,100-135,14-17,5-6,0-2
211,212,Female,Books,Yes,Yes,41-50,20000-40000,6-8,65-100,6-9,7-9,0-2
212,213,Male,Home,No,Yes,41-50,40000-60000,6-8,65-100,14-17,1-2,0-2
213,214,Male,Clothing,No,No,41-50,60000-80000,3-5,100-135,6-9,7-9,0-2
214,215,Male,Electronics,No,Yes,31-40,40000-60000,6-8,65-100,10-13,3-4,0-2
215,216,Male,Books,Yes,No,41-50,40000-60000,3-5,100-135,14-17,7-9,0-2
216,217,Male,Health,No,Yes,21-30,40000-60000,3-5,65-100,14-17,3-4,0-2
217,218,Female,Health,No,No,31-40,20000-40000,3-5,100-135,6-9,5-6,0-2
218,219,Male,Electronics,No,Yes,31-40,60000-80000,9-11,100-135,6-9,7-9,0-2
219,220,Male,Books,No,Yes,31-40,40000-60000,6-8,65-100,6-9,5-6,0-2
220,221,Male,Books,No,Yes,51-60,40000-60000,3-5,65-100,18-21,5-6,0-2
221,222,Female,Books,No,Yes,11-20,80000- 100000,3-5,65-100,14-17,5-6,0-2
222,223,Female,Books,No,Yes,41-50,40000-60000,3-5,65-100,6-9,5-6,0-2
223,224,Female,Health,No,No,11-20,20000-40000,3-5,65-100,6-9,7-9,0-2
224,225,Female,Clothing,No,No,31-40,40000-60000,0-2,65-100,2-5,5-6,0-2
225,226,Male,Books,Yes,Yes,41-50,60000-80000,6-8,100-135,10-13,3-4,0-2
226,227,Male,Clothing,Yes,Yes,31-40,40000-60000,0-2,100-135,14-17,1-2,2-4
227,228,Female,Books,No,No,21-30,20000-40000,3-5,100-135,14-17,3-4,2-4
228,229,Female,Home,No,No,21-30,60000-80000,0-2,65-100,6-9,3-4,0-2
229,230,Male,Home,No,Yes,41-50,20000-40000,6-8,135-170,10-13,5-6,0-2
230,231,Male,Home,Yes,No,21-30,60000-80000,3-5,65-100,14-17,3-4,0-2
231,232,Female,Books,No,Yes,31-40,60000-80000,3-5,100-135,10-13,1-2,2-4
232,233,Female,Clothing,Yes,Yes,31-40,40000-60000,0-2,65-100,2-5,1-2,0-2
233,234,Female,Health,No,Yes,21-30,60000-80000,6-8,65-100,6-9,7-9,0-2
234,235,Female,Electronics,No,No,51-60,40000-60000,6-8,65-100,14-17,5-6,0-2
235,236,Male,Health,No,Yes,41-50,60000-80000,6-8,65-100,10-13,3-4,0-2
236,237,Male,Books,No,Yes,11-20,40000-60000,6-8,65-100,6-9,7-9,0-2
237,238,Male,Home,Yes,Yes,31-40,20000-40000,6-8,100-135,6-9,3-4,0-2
238,239,Female,Home,No,Yes,21-30,40000-60000,3-5,100-135,6-9,7-9,0-2
239,240,Female,Clothing,No,Yes,41-50,60000-80000,3-5,65-100,14-17,5-6,0-2
240,241,Male,Books,No,Yes,21-30,40000-60000,6-8,65-100,6-9,3-4,2-4
241,242,Male,Health,No,Yes,31-40,40000-60000,3-5,65-100,10-13,5-6,0-2
242,243,Male,Books,No,Yes,41-50,20000-40000,3-5,100-135,6-9,5-6,0-2
243,244,Male,Books,No,No,41-50,40000-60000,6-8,65-100,6-9,5-6,0-2
244,245,Female,Home,Yes,Yes,21-30,80000- 100000,3-5,65-100,10-13,7-9,0-2
245,246,Male,Health,No,No,31-40,20000-40000,0-2,65-100,10-13,3-4,0-2
246,247,Male,Electronics,No,Yes,31-40,40000-60000,3-5,135-170,10-13,3-4,0-2
247,248,Male,Home,No,Yes,21-30,60000-80000,3-5,100-135,10-13,3-4,0-2
248,249,Male,Health,No,Yes,51-60,40000-60000,6-8,100-135,14-17,3-4,0-2
249,250,Male,Clothing,No,Yes,31-40,40000-60000,9-11,100-135,6-9,3-4,0-2
250,251,Male,Home,No,Yes,21-30,20000-40000,3-5,65-100,2-5,7-9,6-8
251,252,Male,Clothing,No,No,41-50,40000-60000,3-5,65-100,10-13,3-4,0-2
252,253,Female,Home,No,No,51-60,40000-60000,3-5,65-100,6-9,5-6,0-2
253,254,Female,Books,No,Yes,41-50,60000-80000,0-2,65-100,6-9,5-6,0-2
254,255,Female,Health,No,Yes,11-20,60000-80000,3-5,65-100,6-9,7-9,0-2
255,256,Female,Clothing,Yes,No,31-40,80000- 100000,9-11,65-100,10-13,,0-2
256,257,Male,Home,No,Yes,41-50,40000-60000,3-5,135-170,6-9,5-6,0-2
257,258,Female,Clothing,No,Yes,21-30,40000-60000,3-5,100-135,14-17,7-9,0-2
258,259,Female,Home,No,No,31-40,40000-60000,6-8,100-135,10-13,5-6,0-2
259,260,Male,Home,No,No,41-50,40000-60000,6-8,65-100,6-9,7-9,0-2
260,261,Male,Electronics,No,Yes,21-30,40000-60000,3-5,65-100,10-13,5-6,0-2
261,262,Female,Electronics,No,Yes,31-40,40000-60000,3-5,65-100,6-9,3-4,2-4
262,263,Female,Electronics,No,Yes,2-10,40000-60000,9-11,65-100,10-13,5-6,0-2
263,264,Male,Clothing,No,No,21-30,60000-80000,0-2,100-135,10-13,5-6,0-2
264,265,Female,Books,No,No,31-40,20000-40000,6-8,65-100,10-13,3-4,0-2
265,266,Male,Home,No,Yes,21-30,60000-80000,6-8,65-100,6-9,3-4,0-2
266,267,Male,Health,No,No,51-60,60000-80000,6-8,100-135,6-9,5-6,0-2
267,268,Male,Electronics,No,No,21-30,40000-60000,9-11,100-135,6-9,7-9,2-4
268,269,Male,Clothing,No,Yes,31-40,4500-20000,3-5,100-135,2-5,1-2,0-2
269,270,Female,Clothing,No,No,31-40,40000-60000,6-8,100-135,6-9,5-6,0-2
270,271,Male,Clothing,No,Yes,41-50,60000-80000,6-8,65-100,10-13,5-6,0-2
271,272,Male,Health,No,Yes,21-30,40000-60000,6-8,100-135,10-13,7-9,0-2
272,273,Female,Health,No,Yes,41-50,20000-40000,3-5,100-135,2-5,7-9,0-2
273,274,Male,Electronics,No,No,31-40,40000-60000,3-5,65-100,6-9,5-6,0-2
274,275,Female,Health,No,Yes,21-30,60000-80000,0-2,135-170,10-13,5-6,0-2
275,276,Female,Electronics,Yes,Yes,31-40,40000-60000,6-8,135-170,2-5,3-4,8-10
276,277,Female,Health,No,No,31-40,40000-60000,3-5,100-135,2-5,5-6,0-2
277,278,Male,Health,Yes,Yes,21-30,40000-60000,6-8,100-135,6-9,5-6,0-2
278,279,Female,Health,No,No,31-40,40000-60000,3-5,65-100,10-13,7-9,0-2
279,280,Female,Electronics,No,Yes,31-40,20000-40000,3-5,65-100,10-13,5-6,0-2
280,281,Male,Home,Yes,Yes,31-40,60000-80000,3-5,100-135,10-13,3-4,0-2
281,282,Female,Electronics,No,Yes,41-50,40000-60000,3-5,65-100,10-13,5-6,0-2
282,283,Female,Home,No,No,51-60,60000-80000,3-5,100-135,10-13,3-4,0-2
283,284,Female,Clothing,No,Yes,21-30,60000-80000,3-5,100-135,10-13,1-2,0-2
284,285,Female,Clothing,No,Yes,51-60,60000-80000,3-5,65-100,6-9,3-4,0-2
285,286,Female,Electronics,No,No,11-20,40000-60000,3-5,65-100,14-17,3-4,0-2
286,287,Male,Home,Yes,Yes,31-40,40000-60000,3-5,65-100,10-13,7-9,0-2
287,288,Female,Home,Yes,No,41-50,40000-60000,9-11,100-135,6-9,3-4,4-6
288,289,Female,Home,No,No,31-40,20000-40000,0-2,65-100,6-9,3-4,0-2
289,290,Male,Clothing,No,Yes,21-30,40000-60000,3-5,65-100,2-5,7-9,0-2
290,291,Male,Electronics,No,Yes,31-40,20000-40000,3-5,100-135,14-17,5-6,0-2
291,292,Male,Books,Yes,Yes,31-40,60000-80000,3-5,65-100,6-9,1-2,0-2
292,293,Female,Home,No,Yes,21-30,40000-60000,6-8,100-135,10-13,3-4,0-2
293,294,Male,Home,No,No,41-50,40000-60000,3-5,30-65,6-9,3-4,0-2
294,295,Female,Books,No,No,31-40,40000-60000,3-5,100-135,10-13,3-4,0-2
